,z
DCLRE1C,1.2514069
CEP76,1.2510154
NPEPL1,-1.2508628
TBKBP1,1.2499043
CD200,-1.2498649
SMPDL3A,-1.2495532
OGFR,1.2490448
LEPROT,1.2488315
ATXN7L3B,-1.2485412
TCEB2,-1.2477245
MDFIC,-1.2476639
HIST1H2BH,-1.2474002
FASN,1.247084
CAST,-1.2469447
ATP8A2,1.246745
LOC81691,-1.2467296
LTBR,1.2460419
AGAP2,1.2453544
ATP6V0D1,-1.2450604
UGGT1,-1.243624
SH3BP5,1.243299
C19orf66,-1.2411268
PLEKHM2,1.2410941
NOTCH2,1.2396785
TRAPPC10,-1.2388378
GTF2H1,1.2385876
GPER1,-1.2379975
TNKS,-1.2379551
GATB,-1.2367616
CLIC4,-1.2362665
FASTKD2,1.236109
ADAMTS5,-1.2352707
CDC42EP2,1.2342765
FRAT1,-1.2340342
PPP1R13L,1.2339926
TMEM59L,1.2337282
PIN1,-1.2333822
HECTD4,1.233331
ZSCAN12,-1.2332418
PSMA4,1.2326816
PSMB9,-1.2311774
NAT1,1.2306492
MAFG,1.2306116
NIT2,1.2305524
CCHCR1,-1.2303158
SLC52A2,-1.2301636
IDS,-1.2301507
CLEC16A,-1.2295117
CBR3,-1.2294534
PIGV,-1.2293143
SNW1,1.2276709
ABCB1,-1.2270554
PUM3,1.226844
NBN,-1.2267622
TBL3,-1.2267307
HMGB1,1.2265939
ZDHHC17,-1.2262726
DDX49,-1.2259493
SIRT1,-1.2257633
MTPAP,1.2254733
DHPS,-1.225157
PPID,-1.2250338
GOLM1,1.2250037
GAB2,1.2247914
NDOR1,1.2244414
ZNF212,1.224142
TNFSF10,1.2238603
SSSCA1,1.2236321
EIF5,1.2225289
CDR1,-1.2224829
TMEM50A,-1.2222481
ANXA10,1.2217393
PLIN2,1.2211158
ZNF74,-1.2204612
IPO5,1.220346
CFAP69,-1.2197306
PATZ1,-1.2195327
ZNF394,-1.2191371
FLAD1,-1.2190558
MARK3,1.2188752
PRRC2A,1.2187673
IFRD1,-1.2182424
ARFGEF2,1.2181959
REXO4,1.2178154
TXNL4A,-1.217132
KCNJ10,1.2167058
HNRNPD,1.216617
PMS1,1.2153059
CXCL14,1.2143087
SSX2IP,-1.2140827
ULBP2,1.2136118
ST3GAL5,-1.2133985
IL16,1.2133279
ARHGAP29,-1.2130105
SCRIB,-1.2124565
PSMB6,-1.2117403
CANX,-1.2115372
RFC2,-1.2099463
USF2,-1.2097182
MT1X,1.2095773
TAB2,-1.2095742
ZNF189,1.2086685
CCDC53,-1.2083335
GOSR1,1.2082117
TACC3,1.2081578
CAPN1,-1.2080137
FTSJ2,1.207747
BRD1,-1.207228
ZNF282,1.2062637
GPX2,1.206243
TSPAN6,-1.2061626
DUOX1,1.2060344
XPNPEP3,-1.2059819
BORA,1.2048001
LIMK1,1.2042944
SBNO1,1.2040817
UBA52,-1.2036588
SLAMF1,1.2035768
LCMT2,1.2031729
TLN1,-1.2029785
NDUFB4,-1.2019818
ERF,1.201902
PYGM,1.2016915
CASD1,-1.2011483
CALU,1.2008711
LINC00623,-1.2007823
RB1CC1,-1.2006217
SAMHD1,-1.2005916
H2AFZ,-1.200432
HFE,-1.2003398
DTX4,1.2002194
NLGN3,1.1992507
RABAC1,-1.1983076
KIF18B,1.1979125
DKFZP586I1420,-1.1976974
PBX1,1.1975764
FGF5,-1.1970997
CAMK2N1,-1.1964489
CRK,1.1960733
THYN1,1.1960412
E2F8,1.1950543
TNFRSF1A,1.1950464
RBM19,1.193275
DAZAP1,1.1930388
LPAR3,1.1928111
SGSM3,-1.1927187
AGFG1,1.1924441
STX17,1.1924119
EFNA4,-1.1919525
CDC123,1.1912552
FAM188A,-1.1911908
CXorf56,1.1910253
SGSM2,1.1906363
USP8,1.1903001
SQRDL,1.1898506
F8,-1.1890736
GLTSCR1,1.1878387
ANXA11,-1.1876416
POLQ,1.1872252
SLC25A46,1.1867228
ZSCAN9,-1.1865411
CAD,1.1864593
RNFT2,1.1863906
HOXD11,1.186312
EAPP,-1.1858547
DUSP1,-1.1856256
AMZ2,-1.1854508
DPP6,-1.184824
VEZF1,-1.1844203
RHOBTB1,-1.1842234
SAFB,1.1832633
HSPB8,-1.1831341
LAMA3,-1.1827633
CHPT1,1.1821687
BCAR3,-1.181982
MTIF2,1.1819195
DNMT3B,1.1818407
KLRG1,-1.1814721
SLC35D1,1.1807351
OVOL2,1.1806219
CINP,1.1804214
PRKAG2,1.1804024
CTSW,-1.1795789
SYT17,-1.1793456
OVOL1,1.1791872
ECE1,1.177727
CDCA8,1.1772449
UCHL1,1.1768179
ZYX,-1.1766951
YIPF5,-1.1762269
COG5,1.1761394
TNPO2,1.1760025
TMX4,-1.1757929
C6orf106,-1.1751819
DAPK1,1.1751736
GHITM,-1.1750253
TNNT2,-1.174671
NAA35,1.1740885
RPL38,-1.1738083
TBCC,-1.1733402
ALDH1A1,1.1728334
ZDHHC11,-1.1724408
TFCP2,1.172421
IL2RB,-1.1718626
NF2,-1.1716259
GRAMD1C,-1.1708808
PDSS1,1.1705089
UBE2M,1.1695865
TBC1D8,-1.169216
TXNDC15,-1.169203
ARHGEF17,-1.1690634
FAM129A,-1.1687884
SNRNP200,1.1687831
SMARCD3,-1.1680803
VGLL4,1.1680781
RALGDS,1.1678822
SMARCA4,1.167686
SMG5,1.1670711
TMED10,-1.16666
AURKAIP1,-1.1664202
IGFBP4,1.1658666
MPDU1,-1.1657134
DYRK1B,1.1656439
ECT2,1.1655594
ATXN1,-1.1650554
DLG4,1.1648862
PXN,-1.1648861
EIF2AK3,1.1641744
HLA-DQA1,-1.1639432
ZBED8,-1.1630887
MARCH2,-1.1629895
ALPK3,1.1625907
CLIP3,-1.1622753
APPL1,1.1608512
SEPT9,-1.1608512
ACAT2,-1.1607212
ANP32E,1.1605031
CYP3A4,-1.1602488
MRPL39,1.1596684
SLC25A17,-1.159334
SOGA1,-1.1592382
KIAA0586,-1.1584716
DUSP11,-1.1584396
BRD4,1.1583467
MRPL35,1.1579573
CA8,1.1574397
TOMM40,1.1572821
PPP1R9A,-1.1571527
CHKA,1.1561742
ZNF45,-1.1561394
MTM1,1.1558197
AASDHPPT,1.1556534
ARG2,1.1556505
HSD17B10,1.1552403
CSNK1D,1.1538779
BIRC5,-1.1529999
PLA2G4C,-1.1529739
CEP85,1.1524552
RBM10,1.1520756
RBM28,1.1516732
NME6,1.1516217
ARHGEF2,1.1507702
ERI2,-1.150527
ELF5,-1.1498697
ARHGAP26,1.1497674
SUSD6,1.1496404
NDC80,1.14963
STK24,1.1494637
MAPKAPK5,1.1488024
PRNP,1.1479212
SLC3A2,1.1477602
YPEL1,-1.1466056
MAFF,-1.1465602
SYDE1,-1.1465404
DAB2,-1.1460861
C6orf62,-1.145352
CPA4,-1.1449062
TRIM15,1.1442932
CLCN2,1.1439946
ORC1,-1.1438452
RRNAD1,-1.1436082
TNFRSF21,-1.1436052
SLIRP,1.1435552
IFIT1,-1.142584
SLC48A1,-1.142037
SLC38A6,-1.1419942
HDGF,1.1418974
DNAJB9,-1.1415883
AZGP1,-1.1415077
PEX13,1.1413517
AGBL5,-1.1412671
POLR3B,1.1406178
AGFG2,-1.1398535
SPRY2,-1.1398121
MPP5,1.1396399
ERG,1.1394782
PRKCI,1.1388843
COPS3,-1.138874
METTL9,-1.1388233
M6PR,-1.1388069
UGT8,1.1387388
FAM49B,1.1381954
EFNB1,1.1376346
C2orf42,-1.1375855
PCTP,-1.1373973
LIFR,-1.1371344
BEAN1,-1.1367338
RCHY1,1.13616
ILK,-1.1359628
CKAP5,1.13585
MALL,1.1357359
VDAC1,1.1357113
HLA-DMA,-1.1352373
JOSD1,-1.1351376
DCTN3,-1.1344845
MLH3,-1.1330409
RRP15,1.1327199
AGTPBP1,1.1325363
DIS3,-1.1324759
ZNF552,1.1313659
GFOD2,1.1311373
NRG1,1.13038
HNRNPU,1.1303222
TAF10,-1.1296782
VPS28,-1.1296529
ELOVL4,-1.1295861
SLC8B1,1.129308
ORC6,1.1291487
STAU2,-1.1291386
LSAMP,1.1290904
JARID2,1.1286473
SC5D,1.128543
GRB7,-1.1279584
SWAP70,1.127929
AZIN1,-1.1277423
DBR1,-1.1274617
AGPAT1,-1.127048
RSRP1,-1.1270285
SEPT6,1.1270195
MAP3K13,-1.1269317
TCF12,1.12688
AKAP11,-1.1267109
RBM4,1.1262676
GABARAPL2,-1.1262269
UBE2Q1,-1.1257284
NLRP1,1.1255548
ORM1,1.1252933
DDX54,1.1251923
KLF7,1.1247442
FLOT2,1.1246257
UBAP2L,1.1244906
PFKFB4,1.1243356
OPCML,1.1243182
CD69,-1.1239426
NCALD,-1.1231463
SEPT2,1.12301
CNIH4,1.1227814
GPI,-1.1227605
NOL12,-1.1226746
CWF19L1,-1.1225237
PRIM2,-1.1223595
C2orf54,-1.1218662
LSR,-1.1217527
SQLE,1.121411
HAPLN2,1.1210346
COX6B1,-1.1208913
SDCCAG3,1.1199043
TMEM109,1.1198468
GLUD2,-1.1197097
NARF,-1.1194311
PGGT1B,-1.1193628
YIPF1,-1.1193429
MTMR12,-1.1192477
CKAP2,1.1191372
DHX9,1.1184152
TSC22D3,-1.1179416
USP2,1.117887
NANS,1.1177602
NOD1,1.117441
RGS9,-1.1173233
ACBD3,1.1166148
CHST11,1.1163974
ZNF671,1.116204
COL14A1,1.1159372
MPZL1,1.115405
TARBP1,-1.1151994
CRYL1,-1.1151669
UQCR10,-1.1148591
ZNF197,-1.1147976
GGA3,1.1146474
POLD2,1.1142464
GAREM1,1.1140378
POLR2C,-1.1135825
NDUFA5,1.1133099
MAML1,1.1130089
BZRAP1,-1.1129892
PI3,1.1128621
DLL3,1.112783
RRP7A,-1.1123216
RAB11B,1.112222
EIF1AX,1.111678
DTL,1.1116138
SMAD1,1.1111319
PRLR,-1.1110497
IFITM3,-1.1108408
DLGAP5,1.1107825
ELOVL2,-1.110673
RAB5A,1.1105018
SKAP1,-1.1104488
ZNF277,-1.1103954
INVS,1.1091219
FOXI1,-1.10829
FASTK,-1.1081839
MRPL40,-1.1078728
BTN2A1,-1.1073868
NIPA2,1.1065736
CNOT8,-1.1065197
SEL1L3,1.106473
BAP1,1.1062914
CD8A,-1.1062241
DYNC1LI2,1.1059151
RSF1,1.1053034
SNAPC5,1.1047401
RCOR3,1.1047273
MMP16,1.1043087
NDNF,1.1036876
ADIPOR1,1.1032379
CTSA,-1.1030055
PPIL2,1.1028917
EMX2,-1.1024492
DUSP26,1.1023788
LGMN,1.1021497
KIF3A,-1.1020842
KIF15,1.1019909
SERPINA7,-1.1017091
SLC25A14,-1.1012129
PPP4C,-1.1008937
WDR41,1.100738
LIG1,-1.1006688
ATP13A3,1.100607
EXOSC8,-1.1005214
ARF6,-1.1004957
PDLIM2,-1.1002597
CTRL,1.0997852
BCL7C,-1.0994947
HRAS,1.0994049
SMU1,-1.099246
LDOC1,-1.0992259
CEP70,-1.0987475
NOP14,1.0987406
HDAC6,-1.0979056
TRAM1,-1.0978487
PGS1,1.0972885
FNDC3A,1.097228
MSRB1,-1.0969949
MAMLD1,-1.0965389
FA2H,1.0962605
KIAA0319,-1.0962486
SH2D4A,-1.0961387
RREB1,1.0961114
MFAP5,1.0959592
FIG4,-1.0957272
RMDN1,-1.0956601
TARBP2,-1.0955886
DYNLRB1,-1.0950185
EN1,-1.0946887
MTMR6,-1.0939668
ACTG2,-1.0939025
SELP,1.0931729
BEX4,1.0930501
TBP,1.0929486
TMEM165,1.0925169
U2SURP,1.0923688
DLG3,-1.0923121
SLC2A6,-1.0921133
FANCE,1.0920696
RORA,-1.0919079
PAF1,-1.0910505
CPT1A,1.0906426
MED18,-1.0905685
MACF1,-1.0899924
ORAI3,-1.0896124
RNF39,-1.0893086
PPP6R1,1.0882528
MAN1A2,-1.0879928
P2RY1,1.087935
FMNL1,1.0878557
IKBKB,-1.0877908
MRPL3,1.0877813
SCRN1,1.0876466
NGRN,1.0874356
ZNF688,-1.0873168
SETD5,1.086099
SLC35E2B,-1.0853745
SORL1,-1.0851327
MVD,1.0850871
GPR22,1.0850215
FKBP14,1.0848541
EPPK1,-1.08383
CSNK1E,1.0837878
RALGPS2,-1.0836627
MMP14,1.0831766
ACOT13,-1.0831548
MICU1,-1.0829769
SAR1A,-1.0827993
PRSS8,1.0827693
PPP1R11,-1.0827427
RQCD1,-1.0826727
PSRC1,-1.0824891
C1orf109,1.0824411
TEP1,-1.082058
VCL,-1.0820439
DYNC1I1,1.0817729
PLVAP,1.0815096
REM1,1.0814726
FLVCR2,-1.0812106
RAB14,1.0810263
CDHR1,-1.0807849
IDE,1.0807081
LYZ,1.0803674
PGAP3,-1.0803319
TIMM17B,-1.0797018
CYC1,-1.0795889
PTGFR,-1.0792304
AR,-1.078573
ALDH6A1,-1.0784434
HMG20B,-1.0779473
RPL19,-1.0779018
MBD1,1.0776867
LSS,1.0775037
OXSM,1.077421
SLC29A2,1.0772095
LCMT1,-1.077195
FOLR3,1.0768672
ITPK1,1.0768032
PDCL,-1.0765512
EDA,1.0764661
RNF139,-1.0763764
DDOST,-1.07634
IQGAP1,-1.0753492
UBE2D3,-1.0749979
NECAB3,1.0737377
SLC26A6,1.0736465
RAE1,1.0735562
SERPINB4,1.0735364
SCAF11,1.0724349
RAMP3,1.0723798
DDAH2,-1.0717026
TCOF1,1.0704929
TPD52L2,1.0703441
BPHL,-1.0701821
COA3,-1.0701231
SARDH,1.0699964
SEZ6L2,-1.0697967
PCNX4,-1.0697439
TNN,1.0695745
MRPS7,1.0687914
METAP2,1.0687137
PRPF3,1.0674832
HOXB2,-1.0663677
DCUN1D4,-1.0658435
STK11,1.0651114
WDR7,-1.065094
NR2C2,1.0648526
DSCC1,1.0648117
ADRA2A,1.0642964
WWP1,-1.0642796
PLXNB1,1.0634264
CASP3,-1.063175
STIM1,1.06308
OIP5,1.0629709
ZFAND6,1.062839
PRKAB2,1.0625911
ABT1,-1.06222
SMAGP,1.0618272
KRCC1,1.061662
TTC12,-1.0616379
ABCC3,-1.061474
KRT10,-1.0611187
CPTP,1.0606518
MID1,-1.0602314
MCOLN1,1.0601858
FXYD6,-1.0600796
CCDC109B,1.0597585
TAF5L,-1.0593941
PSME1,-1.0591687
CLIP2,-1.0590518
FAM127B,-1.0586967
CECR5,-1.0581613
PTPRU,-1.0579951
EHD2,1.0578711
SNUPN,1.057764
TP53BP2,1.0571592
HSPH1,-1.0570614
PRCP,-1.0568849
KLHDC2,-1.05645
TRIP13,1.0562291
PTPRK,-1.0561813
TBPL1,-1.0561196
NAPG,1.0561011
STAG2,1.0560455
MYO1D,1.0556841
NPTX2,-1.0556304
LY6G6C,-1.0554669
CNNM1,-1.0550804
TMEM40,1.0543573
KCNN2,-1.0542438
CFH,1.0542256
KIF21B,1.054162
CDKN1B,-1.0540128
DALRD3,1.0539403
DIO1,-1.0538509
KCNMB3,1.0537732
TNK1,1.053493
GZMH,-1.0532795
SLC39A14,1.0530114
BCOR,-1.0529307
ABCF2,1.0527086
FAM216A,1.052641
PDIA3,-1.0526212
CDC25A,1.0522436
NFATC3,1.0519989
AHNAK2,-1.0517987
DDX23,1.0512315
SLC12A6,1.0511441
VIL1,1.0510331
FBXO42,1.0510218
CNN2,-1.050635
KLRB1,-1.0504813
ASUN,1.050377
JADE2,-1.050285
CETN2,-1.0500879
PHIP,-1.049597
GTF3C3,1.0491837
PLPPR4,-1.0491698
MAP2K3,1.0491449
ALG8,1.0490751
LRRC32,1.0489417
CHCHD3,1.0483611
RWDD2A,-1.0482242
CCRL2,1.0480046
SUSD4,1.0473679
APOL3,1.0473404
LOC283683,1.0467219
WNT11,1.0466268
ZNF224,-1.0460002
PRSS3,1.045765
PDCD2,-1.0456681
FTL,1.0450506
DECR1,-1.0448523
KAZN,1.044749
TROAP,1.0446243
NDUFA1,-1.044404
UBA2,-1.0442896
PTCD1,1.0440404
FADD,1.0439755
YY1,-1.0438852
ELMO3,1.0437026
IQCA1,1.0432059
COG2,1.0422937
BRD3,1.0422447
SRSF7,-1.0419855
ATP6V1G1,1.0419605
CENPA,1.041682
CEBPZ,1.0414978
KAT2B,-1.041317
FRZB,1.0410689
CTAGE9,1.0407941
COPS6,-1.0406742
SCAMP4,1.0399365
FGFR1,1.0394058
NUMA1,-1.0393174
PLIN3,-1.0389178
FAT2,1.0385814
FCMR,-1.0382984
PDS5B,-1.0377473
CFAP74,-1.0376618
ERH,1.0373724
LINC00339,-1.0367224
RER1,-1.0365767
FAM208B,1.0364633
PRUNE2,-1.0362339
BEX1,-1.0359547
CD74,1.0358431
HTRA1,-1.0357144
TFIP11,-1.0346131
CDK2AP1,-1.0338705
POLDIP3,-1.0335543
SOWAHC,1.0332248
ADSL,-1.0330956
DEAF1,1.0329956
CTBP1,-1.0329674
SENP3,1.0325849
TDRKH,1.0324248
CBX7,-1.0319927
SERPINB3,1.0318127
RNMT,1.0307968
TMED5,1.0307775
DGKG,1.0306904
ZNF426,-1.0304726
IFI35,-1.0304475
PNPLA3,-1.0304263
GJA1,-1.0303867
H2AFJ,1.0302039
NRP1,-1.0298673
STX8,-1.0293965
DPT,1.0293299
RNASEL,1.0292277
CENPT,1.0288665
BAG4,1.0287613
PCNA,-1.0287063
UBB,-1.0282023
ASAH1,-1.0282012
GALNT12,1.0279675
TPO,1.0276356
UBR2,-1.0273229
RNFT1,-1.0271245
MIF,-1.0270156
FURIN,1.0269554
METTL18,1.0265054
CCDC57,1.025842
ITGA2,-1.0254157
TRIM32,1.0239186
METTL2B,-1.0235729
PELI2,1.0234095
WNT5A,-1.0232513
FSTL3,1.0232486
HSD17B14,1.0230936
ABCB9,1.0229354
PTGIS,1.0228009
RECQL4,-1.0222453
AAMDC,1.0221547
C19orf53,-1.0221376
CCDC22,-1.0219525
CCNE1,1.0217292
ZNF22,1.0215708
PEPD,-1.021489
PPIP5K1,-1.0211893
PTPN21,-1.0210772
PDCD10,1.0210232
ZBTB11,1.0207536
MSRA,-1.0204667
AGPS,1.0203272
ACP6,1.0200884
OARD1,-1.0198337
ARPC1B,-1.0197244
NBL1,1.0196487
COPS7B,-1.0194429
HPCAL4,1.0193352
SLC26A4,1.0187726
ITM2C,-1.0187043
FMR1,1.0186696
ZBTB43,1.0185688
AVL9,1.0182692
KRT5,1.0182229
SRP14,-1.0181899
NCAPH2,-1.0180926
TTYH1,-1.0180063
TSPAN31,-1.0178689
REV3L,1.017692
UBE2L6,1.0176748
TAF12,-1.01735
URB1,1.0167391
MYO1F,-1.016541
NAPA,1.0163045
SAV1,1.0156193
SRCAP,1.015568
ADH5,-1.01534
SNTB1,-1.0147799
PEX7,-1.0145082
GGT5,1.0143628
IRAK3,1.0139884
STAP2,1.0139291
SLC5A6,1.0139127
WHSC1,1.0137582
RPS6KA5,1.0134785
CLSTN2,1.0134261
DPP4,-1.0130664
E2F5,1.0129998
KCNJ15,1.0129639
NFIC,1.0128692
LIMCH1,-1.0128639
AHSA1,-1.0128552
SDC2,-1.0125957
IL22RA1,1.011918
TTPAL,1.0116673
ASB8,-1.011441
MSH6,-1.0111675
PLEKHO1,-1.010983
SMARCC2,1.0107713
UBP1,1.0106587
HJURP,1.0105363
PAAF1,1.0104578
SLC35E3,1.0102621
RAB29,1.0098828
EDNRA,1.0085987
HNRNPH3,-1.0083559
CCDC47,1.0082761
CSNK2A1,1.0081524
FN1,1.0073013
LHX6,1.0065948
NRBP1,-1.0065751
DIRAS2,-1.0062912
PKD1,-1.0061523
GOT2,1.0058942
FAM172A,-1.00576
ARSD,-1.0053608
NETO2,-1.0053349
NUDT18,-1.0053056
SRRM2,-1.0051534
CHST2,1.0050815
SLC4A4,-1.0049813
EPHX1,1.0046394
ABCE1,1.0045044
CLK3,1.0038323
SH3BP1,1.0038229
PAQR6,-1.0033927
RBX1,-1.0032902
TJP2,1.0025938
ALAS1,1.0024782
TMEM230,-1.0023739
PKD2,-1.0014042
LLGL2,-1.001042
MTHFS,1.0004902
NTF3,-1.0001445
DNA2,1.0001432
COL16A1,1.0000312
IFI44L,-0.9995221
ACTR2,-0.99949217
HBP1,-0.99931115
NBR1,-0.9992739
TCN2,0.9989538
ZC3H12A,0.9987681
LOXL1,0.9987469
BCAT2,0.9983832
DSC3,0.99780154
RNH1,-0.9977199
S100A3,0.9977133
ABI2,0.9976745
HARS,-0.9974886
WRB,-0.9972452
NCSTN,0.9971292
GALT,0.9970764
TEAD3,-0.9970199
PDE4D,-0.99698246
TNS4,0.99554056
PACS1,0.99540395
DAD1,-0.9952832
MIS18BP1,0.9952068
IER2,-0.9951457
CRISP3,-0.99512094
IL17RA,-0.9944447
MKKS,-0.9944297
ZWINT,-0.99413323
TRMT13,-0.9940898
ZNF185,-0.9937246
CLK4,-0.99319667
UPK1A,-0.99312055
PTPRM,-0.99302435
DPY19L1,-0.99294984
EIF5A,0.9928356
CDKN2B,-0.9923307
UTP14A,0.9921288
PML,0.991923
KRT32,-0.9918627
HDAC9,0.9916358
CACTIN,0.9913919
BTN2A2,-0.99138397
NEK3,0.99112076
WFDC1,-0.9910238
SCML2,-0.9910074
GPD1,0.99083763
PODXL,-0.99066997
KRT31,0.99060977
ASAP2,-0.99043125
BCL2L2,0.9901415
KLHDC10,-0.9899385
CCNI,-0.9897473
HLA-DQB1,-0.9889057
GTF3C5,0.98889244
RDH11,0.9887377
PRDM5,0.9884766
TRIM28,0.9883023
KIF16B,0.9880621
C17orf62,-0.988016
RHOB,0.9876976
KAT8,-0.987586
SMARCAL1,-0.9873542
KPNA3,0.987209
VPS13D,0.9871999
NDUFV1,0.9869627
ACO2,-0.9868295
SIRT6,-0.98663914
ACTL6A,0.9864265
CNTRL,0.9863678
SRRM1,0.9859741
KCNN4,-0.9858222
TNS1,0.9857373
PTPN7,0.98567015
MCM3,0.9855631
PLXND1,0.985405
ISG20L2,0.9852162
NKX2-2,0.98512447
SREBF2,0.98509
POLA1,-0.984965
B2M,0.98486906
ZW10,-0.9843953
CIB2,-0.9837264
CXCL8,0.9836407
CLK2,0.98364025
SCAMP2,-0.9834459
STRN4,0.9833584
GPX7,0.9831935
POMGNT1,-0.98290515
TADA3,-0.98276186
IL7,-0.9825809
MTMR14,-0.9822819
OTUD3,-0.9822492
SMARCA1,0.98205185
PCDHB6,0.98179555
ABCA3,-0.98159015
CHL1,-0.98154235
ACVR2A,-0.98153746
HMGN3,0.9812715
PLEKHG3,-0.9812707
PDE10A,-0.98118746
GLE1,-0.9807004
CCL23,0.9804437
MLXIP,0.9802555
EGF,-0.98005044
PILRA,-0.9797174
ATG7,-0.9796641
CMTR1,-0.97965264
LCP1,-0.97960055
ARVCF,0.97958434
ALDH1L1,-0.97945356
AADAC,-0.9791229
DHX40,0.9781205
PTPRE,-0.97809196
EPHB6,-0.9779078
PSMC3IP,-0.9778832
CTDSPL,0.9772775
SLC35C1,0.97705764
IL17RB,-0.9768159
POLG,0.9765949
CPSF4,0.9764894
MFNG,0.9763561
SLC35A1,-0.976277
MPG,-0.97610426
CREB3,-0.9760614
CREBL2,-0.97599196
PCDH9,0.97572637
ZMYM2,0.97565854
PSKH1,0.9754783
DDX52,0.975269
NELL1,0.97506046
PTK7,0.974811
SH2D3A,0.9743117
MTMR2,0.9741876
ADCY3,0.9739772
CHD3,0.97373295
HMGA2,-0.97371584
OAZ1,-0.9736873
PHYHIP,-0.97364986
NOV,-0.9736452
SEMA4F,0.97329473
GPATCH2,0.9732049
C9orf78,0.97310656
CDC20,0.9729459
REST,-0.97201383
S1PR4,0.9718584
SMARCD1,0.9716463
SULT1B1,0.9713036
RPA2,-0.9710463
RABGAP1L,-0.9709413
NDP,-0.970814
SPX,0.9706263
SRF,-0.9705924
CDK18,0.9705068
DPH5,-0.9704294
STRADA,-0.9701972
TFAP2A,-0.97018725
DOLK,0.9701061
POLB,-0.9699589
STX1A,-0.9698863
CD59,-0.96970147
ITGA4,-0.9693122
NFE2L1,0.9691232
FAM222B,0.9689064
RMND5A,0.96822417
AGBL2,-0.9676297
KLF13,0.96755743
NEMP1,0.96732694
ZFP36L2,0.96729714
SLC22A5,0.9672169
MAPK11,-0.9669063
BBOF1,-0.966722
TSSC1,-0.9662057
RING1,-0.966161
COL5A3,0.96609336
SMAD3,0.9658803
TTC22,0.96571666
SNAI1,0.96568274
NDST1,-0.96538854
UBE2D4,0.9650614
CDC7,-0.96483713
R3HDM2,-0.96462476
HSPE1,0.96453136
CCNO,-0.96450907
MFSD6,0.964482
AHCY,0.964371
PLEKHA6,0.96424824
SNTB2,0.9640722
TUBGCP4,0.96403354
C10orf95,0.96398664
CCNT2,-0.963683
CRTC3,0.96320903
SLC25A36,0.96221274
PSMB4,-0.9616132
BNC1,0.9615973
AJAP1,0.9611865
DUSP2,-0.9609058
AQP1,0.96065784
UBE3A,-0.9606406
SDHAF3,0.95936733
CSPP1,0.95850635
ROCK2,-0.9576114
KCTD13,-0.9574114
GGA2,-0.95735526
KLHL7,0.9568263
MTX2,0.9567802
IRF2,0.9567301
FCGR3B,-0.9561659
TSN,-0.9559721
LONP1,-0.95595264
TNK2,0.95583403
KLK12,-0.95580995
ST8SIA5,0.95529866
CLUH,0.9549835
ANPEP,-0.9549652
PTPN2,0.9547454
GOLGA3,0.9545498
TULP4,0.954283
MICAL2,0.95420426
CDC25B,-0.9539692
ADAP1,-0.9539169
SMOX,0.9538727
ARID3A,0.9538276
CLCF1,0.95355874
CRIM1,-0.95348084
PRKAA2,-0.9522542
DLEU1,0.9521209
SMG6,0.95186937
GSTK1,-0.9515856
MBOAT2,-0.95155084
AGO2,0.9513085
AFG3L2,0.9503869
OLR1,-0.9501479
COQ7,-0.9499091
ZFYVE21,0.9497107
CRY2,0.9496376
FAM50B,-0.9495601
IL13RA2,0.9494145
RNF126,0.9492447
SIT1,0.9489107
WDR77,0.94876266
ANKRD46,-0.9487228
FAM60A,-0.9483789
EIF3D,-0.9482804
BACE2,0.94773626
PROS1,-0.9476319
PES1,0.9474998
SPATA5L1,0.94744956
ADGRB1,0.9474324
SEC61A2,-0.946763
MLH1,0.9467196
CDCA3,0.9465541
KIF13B,0.9465487
VPS4A,0.9465102
PBX3,0.94577223
GORASP2,0.9454583
UNC50,0.9451933
LSM14A,-0.94498885
CCS,0.94493365
TERF1,0.9449056
BRAF,0.94453424
IRF6,0.9444883
ZNF271P,-0.94445294
CLTA,0.9444358
HOXB7,-0.9442726
TRAK1,0.94424987
ZNF239,-0.9433476
TFR2,-0.943148
TAX1BP3,-0.9428549
ARMC7,-0.9427155
IFNGR2,0.94256
CDCA4,0.9425351
PSME3,0.9413668
ERAP1,-0.9413568
FBXW2,0.9411776
GNAI1,0.94087064
TRAM2,-0.9406914
RPL10,-0.94043946
EDEM2,-0.9403091
NPDC1,-0.9400426
SOBP,0.9400167
ZNF248,-0.9397333
FRY,-0.9395422
DST,-0.939335
ACYP2,-0.9389032
ZNF274,-0.9376219
PUDP,0.9375903
DSN1,-0.9375106
B9D1,-0.9374438
MAK,-0.9373002
PIGR,0.937202
DNAJC10,0.93683857
BMPR2,-0.9368235
DGKA,0.93664914
CARD14,0.936499
CNOT1,0.9359907
SAE1,0.9359442
HAND2,0.93574136
C3,0.9356335
CORO1B,-0.93530655
FANCL,-0.9352838
PDS5A,0.93503404
SF3B5,-0.93469435
PIGZ,0.93455726
FCGBP,-0.9343303
TCTN3,0.9340296
DAAM1,-0.9338902
TOX4,-0.9338658
COL4A2,0.93343043
GSTM2,-0.93322617
CEP162,-0.9332097
RALGAPA1,-0.9331132
KCND3,-0.93306345
GGCT,0.93282795
GFPT1,0.93248796
NHEJ1,-0.9323851
CSDC2,-0.9321501
FNTA,0.9317883
STYXL1,-0.9315314
CHST15,0.9314722
HTT,0.9313052
LRRC61,0.931239
COX7C,-0.93096006
